,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,TimeStamp
0,China,80894,+13,3237.0,11.0,69614.0,8043,2622.0,56.0,2020-03-18 15:50:06.309058
1,Italy,31506,,2503.0,,2941.0,26062,2060.0,521.0,2020-03-18 15:50:06.309058
2,Iran,17361,"+1,192",1135.0,147.0,5389.0,10837,,207.0,2020-03-18 15:50:06.309058
3,Spain,13910,"+2,084",623.0,90.0,1081.0,12206,563.0,298.0,2020-03-18 15:50:06.309058
4,Germany,10120,+753,27.0,1.0,73.0,10020,2.0,121.0,2020-03-18 15:50:06.309058
5,S. Korea,8413,+93,84.0,3.0,1540.0,6789,59.0,164.0,2020-03-18 15:50:06.309058
6,France,7730,,175.0,,602.0,6953,699.0,118.0,2020-03-18 15:50:06.309058
7,USA,7339,+928,116.0,7.0,106.0,7117,12.0,22.0,2020-03-18 15:50:06.309058
8,Switzerland,3070,+328,27.0,,15.0,3028,,355.0,2020-03-18 15:50:06.309058
9,UK,2626,+676,71.0,,65.0,2490,20.0,39.0,2020-03-18 15:50:06.309058
10,Netherlands,2051,+346,58.0,15.0,2.0,1991,45.0,120.0,2020-03-18 15:50:06.309058
11,Austria,1646,+314,4.0,,9.0,1633,12.0,183.0,2020-03-18 15:50:06.309058
12,Norway,1529,+58,6.0,3.0,1.0,1522,27.0,282.0,2020-03-18 15:50:06.309058
13,Belgium,1486,+243,14.0,4.0,31.0,1441,33.0,128.0,2020-03-18 15:50:06.309058
14,Sweden,1292,+96,8.0,,1.0,1283,12.0,128.0,2020-03-18 15:50:06.309058
15,Denmark,1044,+67,4.0,,1.0,1039,24.0,180.0,2020-03-18 15:50:06.309058
16,Japan,899,+21,29.0,,144.0,726,41.0,7.0,2020-03-18 15:50:06.309058
17,Malaysia,790,+117,2.0,,60.0,728,15.0,24.0,2020-03-18 15:50:06.309058
18,Diamond Princess,712,,7.0,,456.0,249,14.0,,2020-03-18 15:50:06.309058
19,Portugal,642,+194,2.0,1.0,4.0,636,18.0,63.0,2020-03-18 15:50:06.309058
20,Canada,598,,8.0,,12.0,578,1.0,16.0,2020-03-18 15:50:06.309058
21,Australia,565,+110,6.0,1.0,43.0,516,1.0,22.0,2020-03-18 15:50:06.309058
22,Czechia,464,+30,,,3.0,461,5.0,43.0,2020-03-18 15:50:06.309058
23,Qatar,442,,,,4.0,438,,153.0,2020-03-18 15:50:06.309058
24,Israel,433,+96,,,11.0,422,6.0,50.0,2020-03-18 15:50:06.309058
25,Greece,387,,5.0,,14.0,368,11.0,37.0,2020-03-18 15:50:06.309058
26,Finland,359,+37,,,10.0,349,2.0,65.0,2020-03-18 15:50:06.309058
27,Brazil,350,+4,1.0,,2.0,347,18.0,2.0,2020-03-18 15:50:06.309058
28,Singapore,313,+47,,,114.0,199,14.0,54.0,2020-03-18 15:50:06.309058
29,Ireland,292,,2.0,,5.0,285,6.0,59.0,2020-03-18 15:50:06.309058
30,Slovenia,286,+11,1.0,,,285,4.0,138.0,2020-03-18 15:50:06.309058
31,Pakistan,272,+25,,,2.0,270,,1.0,2020-03-18 15:50:06.309058
32,Estonia,258,+33,,,1.0,257,1.0,194.0,2020-03-18 15:50:06.309058
33,Bahrain,255,+14,1.0,,88.0,166,3.0,150.0,2020-03-18 15:50:06.309058
34,Poland,251,+13,5.0,,1.0,245,3.0,7.0,2020-03-18 15:50:06.309058
35,Iceland,250,+3,,,5.0,245,1.0,733.0,2020-03-18 15:50:06.309058
36,Romania,246,+29,,,19.0,227,5.0,13.0,2020-03-18 15:50:06.309058
37,Chile,238,+37,,,,238,3.0,12.0,2020-03-18 15:50:06.309058
38,Indonesia,227,+55,19.0,12.0,11.0,197,,0.8,2020-03-18 15:50:06.309058
39,Thailand,212,+35,1.0,,41.0,170,1.0,3.0,2020-03-18 15:50:06.309058
40,Luxembourg,203,+63,2.0,1.0,,201,1.0,324.0,2020-03-18 15:50:06.309058
41,Philippines,202,+15,17.0,3.0,4.0,181,1.0,2.0,2020-03-18 15:50:06.309058
42,Egypt,196,,6.0,,26.0,164,,2.0,2020-03-18 15:50:06.309058
43,Hong Kong,181,+13,4.0,,92.0,85,4.0,24.0,2020-03-18 15:50:06.309058
44,Saudi Arabia,171,,,,6.0,165,,5.0,2020-03-18 15:50:06.309058
45,Iraq,164,+10,12.0,1.0,41.0,111,,4.0,2020-03-18 15:50:06.309058
46,Ecuador,155,+44,2.0,,,153,2.0,9.0,2020-03-18 15:50:06.309058
47,India,152,+9,3.0,,14.0,135,,0.1,2020-03-18 15:50:06.309058
48,Russia,147,+33,,,8.0,139,,1.0,2020-03-18 15:50:06.309058
49,Kuwait,142,+12,,,15.0,127,4.0,33.0,2020-03-18 15:50:06.309058
50,Lebanon,133,+9,4.0,,4.0,125,3.0,19.0,2020-03-18 15:50:06.309058
51,San Marino,119,,11.0,,4.0,104,11.0,3507.0,2020-03-18 15:50:06.309058
52,Peru,117,,,,1.0,116,8.0,4.0,2020-03-18 15:50:06.309058
53,South Africa,116,+31,,,,116,,2.0,2020-03-18 15:50:06.309058
54,UAE,113,,,,26.0,87,2.0,11.0,2020-03-18 15:50:06.309058
55,Slovakia,105,+8,,,,105,2.0,19.0,2020-03-18 15:50:06.309058
56,Taiwan,100,+23,1.0,,20.0,79,,4.0,2020-03-18 15:50:06.309058
57,Turkey,98,,1.0,,,97,,1.0,2020-03-18 15:50:06.309058
58,Mexico,93,+11,,,4.0,89,1.0,0.7,2020-03-18 15:50:06.309058
59,Colombia,93,+28,,,1.0,92,,2.0,2020-03-18 15:50:06.309058
60,Panama,86,+17,1.0,,,85,7.0,20.0,2020-03-18 15:50:06.309058
61,Armenia,84,+6,,,1.0,83,2.0,28.0,2020-03-18 15:50:06.309058
62,Serbia,83,+11,,,1.0,82,4.0,9.0,2020-03-18 15:50:06.309058
63,Bulgaria,81,,2.0,,,79,,12.0,2020-03-18 15:50:06.309058
64,Croatia,81,+12,,,5.0,76,,20.0,2020-03-18 15:50:06.309058
65,Argentina,79,,2.0,,3.0,74,1.0,2.0,2020-03-18 15:50:06.309058
66,Vietnam,75,+9,,,16.0,59,,0.8,2020-03-18 15:50:06.309058
67,Algeria,72,+11,6.0,1.0,10.0,56,,2.0,2020-03-18 15:50:06.309058
68,Latvia,71,+11,,,1.0,70,,38.0,2020-03-18 15:50:06.309058
69,Brunei,68,+12,,,,68,2.0,155.0,2020-03-18 15:50:06.309058
70,Albania,59,+4,2.0,1.0,,57,2.0,21.0,2020-03-18 15:50:06.309058
71,Hungary,58,+8,1.0,,2.0,55,4.0,6.0,2020-03-18 15:50:06.309058
72,Faeroe Islands,58,+11,,,1.0,57,,1187.0,2020-03-18 15:50:06.309058
73,Jordan,52,+4,,,1.0,51,,5.0,2020-03-18 15:50:06.309058
74,Belarus,51,+15,,,5.0,46,,5.0,2020-03-18 15:50:06.309058
75,Sri Lanka,51,+7,,,3.0,48,,2.0,2020-03-18 15:50:06.309058
76,Costa Rica,50,,,,,50,3.0,10.0,2020-03-18 15:50:06.309058
77,Uruguay,50,,,,,50,,14.0,2020-03-18 15:50:06.309058
78,Morocco,49,+5,2.0,,1.0,46,1.0,1.0,2020-03-18 15:50:06.309058
79,Cyprus,49,,,,,49,1.0,41.0,2020-03-18 15:50:06.309058
80,Malta,48,+10,,,2.0,46,,109.0,2020-03-18 15:50:06.309058
81,Palestine,44,,,,,44,,9.0,2020-03-18 15:50:06.309058
82,Andorra,39,,,,1.0,38,,505.0,2020-03-18 15:50:06.309058
83,Georgia,38,+4,,,1.0,37,1.0,10.0,2020-03-18 15:50:06.309058
84,Bosnia and Herzegovina,38,+4,,,2.0,36,,12.0,2020-03-18 15:50:06.309058
85,Kazakhstan,36,+3,,,,36,,2.0,2020-03-18 15:50:06.309058
86,Venezuela,36,+3,,,,36,,1.0,2020-03-18 15:50:06.309058
87,Cambodia,35,+2,,,1.0,34,,2.0,2020-03-18 15:50:06.309058
88,North Macedonia,35,+4,,,1.0,34,1.0,17.0,2020-03-18 15:50:06.309058
89,Azerbaijan,34,,1.0,,6.0,27,,3.0,2020-03-18 15:50:06.309058
90,Lithuania,33,+7,,,1.0,32,1.0,12.0,2020-03-18 15:50:06.309058
91,Oman,33,,,,12.0,21,,6.0,2020-03-18 15:50:06.309058
92,Senegal,31,+4,,,2.0,29,,2.0,2020-03-18 15:50:06.309058
93,Moldova,30,,1.0,1.0,1.0,28,2.0,7.0,2020-03-18 15:50:06.309058
94,Tunisia,29,+2,,,1.0,28,2.0,2.0,2020-03-18 15:50:06.309058
95,Guadeloupe,27,+9,,,,27,,67.0,2020-03-18 15:50:06.309058
96,Afghanistan,22,,,,1.0,21,,0.6,2020-03-18 15:50:06.309058
97,Dominican Republic,21,,1.0,,,20,,2.0,2020-03-18 15:50:06.309058
98,Burkina Faso,20,+5,1.0,1.0,,19,,1.0,2020-03-18 15:50:06.309058
99,New Zealand,20,,,,,20,,4.0,2020-03-18 15:50:06.309058
100,Martinique,19,+4,1.0,,,18,,51.0,2020-03-18 15:50:06.309058
101,Liechtenstein,19,,,,,19,,498.0,2020-03-18 15:50:06.309058
102,Macao,15,+2,,,10.0,5,,23.0,2020-03-18 15:50:06.309058
103,Uzbekistan,15,+4,,,,15,,0.4,2020-03-18 15:50:06.309058
104,Ukraine,14,,2.0,,,12,,0.3,2020-03-18 15:50:06.309058
105,Bangladesh,14,+4,1.0,1.0,3.0,10,,0.09,2020-03-18 15:50:06.309058
106,Jamaica,13,,,,2.0,11,,4.0,2020-03-18 15:50:06.309058
107,Maldives,13,,,,,13,,24.0,2020-03-18 15:50:06.309058
108,Bolivia,12,,,,,12,,1.0,2020-03-18 15:50:06.309058
109,Réunion,12,+3,,,,12,,13.0,2020-03-18 15:50:06.309058
110,Guyana,11,+4,1.0,,,10,,14.0,2020-03-18 15:50:06.309058
111,French Guiana,11,,,,,11,,37.0,2020-03-18 15:50:06.309058
112,Paraguay,11,+2,,,,11,1.0,2.0,2020-03-18 15:50:06.309058
113,Cameroon,10,,,,,10,,0.4,2020-03-18 15:50:06.309058
114,Monaco,9,,,,,9,,229.0,2020-03-18 15:50:06.309058
115,Honduras,9,+1,,,,9,,0.9,2020-03-18 15:50:06.309058
116,Guatemala,8,,1.0,,,7,,0.4,2020-03-18 15:50:06.309058
117,Nigeria,8,+5,,,1.0,7,,0.04,2020-03-18 15:50:06.309058
118,Gibraltar,8,+5,,,2.0,6,,237.0,2020-03-18 15:50:06.309058
119,Guam,8,+3,,,,8,,47.0,2020-03-18 15:50:06.309058
